[2025-10-31 11:25:00] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-10-31 11:28:59] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 15:25:49] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 15:26:41] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 15:30:16] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 20:53:09] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:00:05] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:10:04] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:10:10] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:10:25] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:11:09] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:12:43] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:12:49] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:12:56] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:13:02] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:13:09] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:13:16] - IR_LivingRoom | Manual Trigger | Intrusion detected by IR_LivingRoom (Manual Trigger)!
[2025-11-01 22:13:41] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:13:46] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:20:33] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:20:39] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:20:51] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:21:09] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:47:05] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:47:09] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:47:13] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:47:17] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:47:21] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:47:41] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:49:39] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:52:43] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:52:57] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 22:58:22] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-01 23:05:22] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-02 00:25:22] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-02 00:25:57] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-02 00:30:02] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-02 00:32:16] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-02 01:14:48] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:14:57] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:15:00] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:15:00] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:15:06] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:15:15] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:15:50] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:16:01] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:17:06] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:17:30] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:17:34] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:17:47] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:17:49] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:18:01] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 01:18:06] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 10:59:34] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-02 11:00:03] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:00:24] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:00:35] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:00:45] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:00:56] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:01:06] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:01:17] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:01:27] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:01:38] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:01:59] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:02:09] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:02:41] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:02:51] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:03:02] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:03:12] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:04:58] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:05:08] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 11:05:38] - Sound_BackDoor | Sound+IR | Intrusion detected by Sound_BackDoor (Sound+IR)!
[2025-11-02 15:41:11] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:41:21] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:41:22] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:41:25] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:41:26] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:41:48] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:41:58] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:42:10] - Sound_Kitchen | Sound | Intrusion detected by Sound_Kitchen (Sound)!
[2025-11-02 15:42:32] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:42:34] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:42:39] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:42:53] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-02 15:54:29] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 10:19:26] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 10:51:00] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 10:51:37] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 13:01:54] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 13:02:07] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 13:02:45] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 13:03:04] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 13:03:11] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 13:03:31] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 15:52:45] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 15:53:30] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:53:42] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:53:50] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 15:54:01] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:54:39] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:54:56] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:55:11] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:55:19] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:55:31] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:55:48] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:56:13] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:56:21] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:56:38] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:56:52] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 15:57:47] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 16:13:39] - Sound_Kitchen | Sound | Intrusion detected by Sound_Kitchen (Sound)!
[2025-11-03 16:30:05] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 16:30:20] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 16:30:38] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 16:30:51] - Sound_Kitchen | Sound | Intrusion detected by Sound_Kitchen (Sound)!
[2025-11-03 16:31:09] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 16:31:19] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 16:31:43] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 16:36:36] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 17:37:25] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 17:38:02] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 17:38:13] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 17:38:26] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 17:41:28] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 17:41:50] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 18:15:02] - Sound_Back | Manual Trigger | Intrusion detected by Sound_Back (Manual Trigger)!
[2025-11-03 18:15:46] - Sound_Kitchen | Sound | Intrusion detected by Sound_Kitchen (Sound)!
[2025-11-03 18:15:59] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 18:16:20] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 18:16:31] - IR_LivingRoom | IR | Intrusion detected by IR_LivingRoom (IR)!
[2025-11-03 18:33:21] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 18:35:54] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 18:36:11] - IR_2 | IR | Intrusion detected by IR_2 (IR)!
[2025-11-03 18:36:18] - IR_4 | IR | Intrusion detected by IR_4 (IR)!
[2025-11-03 18:36:24] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 18:37:15] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:06:52] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:07:43] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:09:22] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-03 19:09:31] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-03 19:09:54] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:10:53] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:12:12] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:35:55] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-03 19:36:26] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-03 19:36:38] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-03 19:36:47] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
[2025-11-03 19:37:11] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 12:22:11] - IR_1 | IR | Intrusion detected by IR_1 (IR)!
[2025-11-06 12:22:46] - Sound_1 | Sound | Intrusion detected by Sound_1 (Sound)!
